"INDUSTRIALIZADOR","UF FÁBR","PRODUTO","TIPO PRODUTO","CERTIFICAÇÃO","CATEGORIA"
"A B M IND. E COM. CAFE LTDA.","PR","BASA","TM","Pureza, Qualidade","Tradicional"
"A B M IND. E COM. CAFE LTDA.","PR","BASA EXPRESSO","GR","Pureza, Qualidade","Gourmet"
"A B M IND. E COM. CAFE LTDA.","PR","COCARI EXPRESSO GOURMET","GR","Pureza, Qualidade","Gourmet"
"A B M IND. E COM. CAFE LTDA.","PR","COCARI GOURMET","TM","Pureza, Qualidade","Gourmet"
"A B M IND. E COM. CAFE LTDA.","PR","COCARI PREMIUM","TM","Pureza",""
"A B M IND. E COM. CAFE LTDA.","PR","COCARI SUPERIOR","TM","Pureza, Qualidade","Superior"
"A B M IND. E COM. CAFE LTDA.","PR","COCARI TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"A B M IND. E COM. CAFE LTDA.","PR","ESTORIL","TM","Pureza, Qualidade","Tradicional"
"A B M IND. E COM. CAFE LTDA.","PR","LOVAT EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"A. ABRANTES GADELHA  CIA","PB","FREI DAMIAO","TM","Pureza, Qualidade","Tradicional"
"A. S. DA SILVA – ME","BA","EXTREMO SUL","TM","Pureza, Qualidade","Tradicional"
"A. S. DA SILVA – ME","BA","SAMONTE EXTRAFORTE","TM","Pureza, Qualidade","Extraforte"
"AGRIPLUS AGROIND. E COM. LTDA.","MG","IRAI","TM","Pureza, Qualidade","Tradicional"
"AGROIND. E EXP. CAFE BAHIA S_A.","BA","BAHIA EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"AGROIND. E EXP. CAFE BAHIA S_A.","BA","BAHIA GOURMET","TM","Pureza",""
"AGROIND. E EXP. CAFE BAHIA S_A.","BA","BAHIA TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"AGROIND. E EXP. CAFE BAHIA S_A.","BA","CLASSE A","GR","Pureza",""
"AGROIND. E EXP. CAFE BAHIA S_A.","BA","CLASSICO EM GRAO","GR","Pureza",""
"AGROIND. E EXP. CAFE BAHIA S_A.","BA","ESQUADRAO","TM","Pureza",""
"AGROIND. E EXP. CAFE BAHIA S_A.","BA","LOSANGO","TM","Pureza, Qualidade","Tradicional"
"AGROIND. E EXP. CAFE BAHIA S_A.","BA","PADIM TRADICIONAL AMOFADA","TM","Pureza",""
"AGROIND. E EXP. CAFE BAHIA S_A.","BA","RIO BRANCO VACUO","TM","Pureza",""
"AGROINDUSTRIA ESSENCIA DE MINAS LTDA – ME","MG","JADE","TM","Pureza",""
"AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.","MG","DA FAZENDA EXTRAFORTE","TM","Pureza, Qualidade","Extraforte"
"AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.","MG","DA FAZENDA GOURMET","GR","Pureza",""
"AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.","MG","DA FAZENDA GOURMET","TM","Pureza, Qualidade","Gourmet"
"AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.","MG","DA FAZENDA PREMIUM","TM","Pureza, Qualidade","Superior"
"AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.","MG","DA FAZENDA SUPERIOR","TM","Pureza",""
"AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.","MG","DA FAZENDA TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.","MG","DO PRATA – EXTRA FORTE","TM","Pureza",""
"ALCAFE CAFE LTDA.","SP","TERREIRO","TM","Pureza, Qualidade","Tradicional"
"ALECIO GOTTI LTDA","SP","BONETTI","TM","Pureza",""
"ALECIO GOTTI LTDA","SP","CIAMDRIGHI","TM","Pureza, Qualidade","Tradicional"
"ALECIO GOTTI LTDA","SP","DELALANA","TM","Pureza",""
"ALECIO GOTTI LTDA","SP","NOBRE DA SERRA","TM","Pureza, Qualidade","Tradicional"
"ALECIO GOTTI LTDA","SP","PENHA CENTER TRADICIONAL","TM","Pureza",""
"ALECIO GOTTI LTDA","SP","PRIMAVERA","TM","Pureza",""
"ALECIO GOTTI LTDA","SP","PRIMAVERA EXPRESSO","GR","Pureza, Qualidade","Gourmet"
"ALECIO GOTTI LTDA","SP","PRIMAVERA EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"ALECIO GOTTI LTDA","SP","PRIMAVERA SUPERIOR","TM","Pureza, Qualidade","Superior"
"ALECIO GOTTI LTDA","SP","PRIMAVERA TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"ALTO DE MINAS COM. E IND. DE CAFE LTDA","MG","ALTO DE MINAS GOURMET","TM","Pureza, Qualidade","Gourmet"
"ALTO DE MINAS COM. E IND. DE CAFE LTDA","MG","ALTO DE MINAS GOURMET","GR","Pureza, Qualidade","Gourmet"
"ALTO DE MINAS COM. E IND. DE CAFE LTDA","MG","ALTO DE MINAS TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"ALTO DE MINAS COM. E IND. DE CAFE LTDA","MG","ALTO DE MINAS TRADICIONAL","GR","Pureza, Qualidade","Tradicional"
"ALTO DE MINAS COM. E IND. DE CAFE LTDA","MG","BERRO DAGUA GOURMET","TM","Pureza, Qualidade","Gourmet"
"ALTO DE MINAS COM. E IND. DE CAFE LTDA","MG","BERRO DAGUA GOURMET","GR","Pureza, Qualidade","Gourmet"
"ALTO DE MINAS COM. E IND. DE CAFE LTDA","MG","CONSTANTINO CLASSICO","TM","Pureza",""
"ALTO DE MINAS COM. E IND. DE CAFE LTDA","MG","TECOARA GOURMET","TM","Pureza, Qualidade","Gourmet"
"ALTO DE MINAS COM. E IND. DE CAFE LTDA","MG","TECOARA GOURMET","GR","Pureza, Qualidade","Gourmet"
"AM COM. IND. DE CAFE LTDA.","MG","TIETA","TM","Pureza, Qualidade","Tradicional"
"AMERICA IND. E COM. DE ALIMS. LTDA.","MG","NORTE DE MINAS EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"AMERICA IND. E COM. DE ALIMS. LTDA.","MG","NORTE DE MINAS SUPERIOR","TM","Pureza, Qualidade","Superior"
"AMERICA IND. E COM. DE ALIMS. LTDA.","MG","NORTE DE MINAS TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"ANJU IND. E COM. DE CAFE LTDA.","SC","MYATA EXTRA FORTE","TM","Pureza",""
"ANJU IND. E COM. DE CAFE LTDA.","SC","OURO","TM","Pureza, Qualidade","Extraforte"
"ANJU IND. E COM. DE CAFE LTDA.","SC","OURO DESCAFEINADO","TM","Pureza, Qualidade","Superior"
"ANJU IND. E COM. DE CAFE LTDA.","SC","OURO ESPRESSO","GR","Pureza, Qualidade","Gourmet"
"ANJU IND. E COM. DE CAFE LTDA.","SC","OURO EXTRAFORTE","TM","Pureza, Qualidade","Extraforte"
"ANJU IND. E COM. DE CAFE LTDA.","SC","OURO ORGANICO","TM","Pureza",""
"ANJU IND. E COM. DE CAFE LTDA.","SC","OURO PREMIUM","TM","Pureza, Qualidade","Superior"
"ANJU IND. E COM. DE CAFE LTDA.","SC","OURO TIPO ESPECIAL CARAMELLATO","TM","Pureza, Qualidade","Gourmet"
"ANJU IND. E COM. DE CAFE LTDA.","SC","OURO TIPO ESPECIAL FRUTTATO","TM","Pureza, Qualidade","Gourmet"
"ANJU IND. E COM. DE CAFE LTDA.","SC","OURO TORRADO EM GRAOS","GR","Pureza, Qualidade","Superior"
"ANJU IND. E COM. DE CAFE LTDA.","SC","OURO TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"ANJU IND. E COM. DE CAFE LTDA.","SC","RIOSUL","TM","Pureza",""
"ANTONIO SOUTO CASTRO  CIA. LTDA.","BA","VERDES MARES","TM","Pureza, Qualidade","Tradicional"
"ARGOS AGROPEC. INDL. E COML. LTDA","MG","JADE","TM","Pureza",""
"AROEIRA ALIM. IND. E COM. E DISTRIB. EIRELI","MT","VERDAO","TM","Pureza, Qualidade","Extraforte"
"AROMA DOURADO TORREF. E MOAG. DE CAFE  LTDA","SP","PEPIRA DOURADO","TM","Pureza, Qualidade","Superior"
"ATLAS COM. E IND. LTDA.","GO","BAMBINO","TM","Pureza, Qualidade","Tradicional"
"ATLAS COM. E IND. LTDA.","GO","CALOURO","TM","Pureza, Qualidade","Tradicional"
"ATLAS COM. E IND. LTDA.","GO","PELICANO","TM","Pureza, Qualidade","Tradicional"
"AUMA CAFE LTDA","MG","ANIMA","GR","Pureza, Qualidade","Gourmet"
"AUMA CAFE LTDA","MG","ANIMA","TM","Pureza, Qualidade","Gourmet"
"AUMA CAFE LTDA","MG","BENCAVO EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"AUMA CAFE LTDA","MG","BENCAVO TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"AUMA CAFE LTDA","MG","CEMIL EXTRA FORTE","TM","Pureza, Qualidade","Extraforte"
"AUMA CAFE LTDA","MG","CEMIL TRADICIONAL","TM","Pureza, Qualidade","Tradicional"
"AUREA IMP. E EXP. E TORREF. DE CAFE LTDA","ES","FORNO GRANDE","TM","Pureza, Qualidade","Gourmet"
"AUREA IMP. E EXP. E TORREF. DE CAFE LTDA","ES","MONTE CASTELO AUDAZ","GR","Pureza, Qualidade","Gourmet"
"AUREA IMP. E EXP. E TORREF. DE CAFE LTDA","ES","MONTE CASTELO AUDAZ","TM","Pureza, Qualidade","Gourmet"
"AUREA IMP. E EXP. E TORREF. DE CAFE LTDA","ES","MONTE CASTELO BEBIDA FINA","TM","Pureza, Qualidade","Superior"
